seq,large_chunk,small_chunk,resource_key,canonical_key,internal_id,japanese_name,english_name,card_type,race,rules,flavor,mapping,large_chunk_size,inner_archive_size,outer_slack
352,1029,1712,8_36,8_36,348,光器マーシャ,"Misha, Channeler of Suns",CREATURE,Mecha Del Sol,■ This creature can't be attacked by any creature that has Dragon in its race.,,crosswalk,131072,129536,1536
353,1030,1713,8_37,8_37,349,乱撃の使徒ミガロ,"Migalo, Vizier of Spycraft",CREATURE,Initiate,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  Whenever this creature attacks, you may look at 2 of your opponent's shields. Then put them back where they were.",,crosswalk,126976,125952,1024
354,1031,1714,8_38,8_38,350,日輪の守護者ソル・ガーラ,"Sol Galla, Halo Guardian",CREATURE,Guardian,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Whenever a player casts a spell, this creature gets +3000 power until the end of the turn. (Do what the spell says before this creature gets the extra power.)",,crosswalk,122880,122880,0
355,1032,1715,8_39,8_39,351,ソーラー・チャージャー,Lunar Charger,SPELL,,"■ Choose up to 2 of your creatures in the battle zone. At the end of the turn, you may untap them.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)",,crosswalk,108544,108032,512
356,1033,1716,8_40,8_40,352,イリュージョン・フィッシュ,Illusion Fish,CREATURE,Gel Fish,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  This creature can't be blocked.",,crosswalk,122880,122368,512
357,1034,1717,8_41,8_41,353,キャンディ・クラスター,Candy Cluster,CREATURE,Cyber Cluster,■ This creature can't be blocked.,,crosswalk,120832,120832,0
358,1035,1718,8_42,8_42,354,グレープ・ジェリー,Grape Globbo,CREATURE,Cyber Virus,"■ When you put this creature into the battle zone, look at your opponent's hand.",,crosswalk,124928,123904,1024
359,1036,1719,8_43,8_43,355,ブレイン・チャージャー,Eureka Charger,SPELL,,"■ Draw a card.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)",,crosswalk,110592,109056,1536
360,1037,1720,8_44,8_44,356,ギガクローズ,Gigaclaws,CREATURE,Chimera,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  Whenever this creature attacks, your opponent discards his hand.",,crosswalk,143360,141824,1536
361,1038,1721,8_45,8_45,357,黒神龍ギランド,Necrodragon Giland,CREATURE,Zombie Dragon,"■ Double breaker (This creature breaks 2 shields.)
■ When this creature battles, destroy it after the battle.",,crosswalk,149504,148480,1024
362,1039,1722,8_46,8_46,358,暴虐虫タイラント・ワーム,Tyrant Worm,CREATURE,Parasite Worm,"■ When you put another creature into the battle zone, destroy this creature.",,crosswalk,133120,132864,256
363,1040,1723,8_47,8_47,359,リバース・チャージャー,Corpse Charger,SPELL,,"■ Put a creature from your graveyard into your hand.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)",,crosswalk,131072,129792,1280
364,1041,1724,8_48,8_48,360,バトルシップ・ワイバーン,Torpedo Skyterror,CREATURE,Armored Wyvern,"■ While attacking, this creature gets +2000 power for each other tapped creature you have in the battle zone.",,crosswalk,122880,122368,512
365,1042,1725,8_49,8_49,361,紅神龍メルガルス,Magmadragon Melgars,CREATURE,Volcano Dragon,,,crosswalk,135168,133888,1280
366,1043,1726,8_50,8_50,362,肉弾兵ウルティモ,Missile Soldier Ultimo,CREATURE,Dragonoid,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  This creature can attack untapped creatures and has ""Power attacker +4000 (While attacking, this creature gets +4000 power).""",,crosswalk,145408,144384,1024
367,1044,1727,8_51,8_51,363,トット・ピピッチ,Totto Pipicchi,CREATURE,Fire Bird,"■ Each creature in the battle zone that has Dragon in its race has ""speed attacker."" (A creature that has ""speed attacker"" doesn't get summoning sickness.)",,crosswalk,135168,134656,512
368,1045,1728,8_52,8_52,364,緑神龍グレガリゴン,Terradragon Regarion,CREATURE,Earth Dragon,"■ Power attacker +3000 (While attacking, this creature gets +3000 power.)
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,151552,150272,1280
369,1046,1729,8_53,8_53,365,食獣セニア,"Senia, Orchard Avenger",CREATURE,Tree Folk,"■ Turbo rush (If any of your other creatures broke any shields this turn, this creature gets its turbo rush ability until the end of the turn.)
  This creature gets +5000 power and has ""double breaker (This creature breaks 2 shields).""",,crosswalk,147456,147456,0
370,1047,1730,8_54,8_54,366,沈黙するバックラー・ホーン,"Bakkra Horn, the Silent",CREATURE,Horned Beast,"■ Whenever you put a Dragonoid or a creature that has Dragon in its race into the battle zone, put the top card of your deck into your mana zone.",,crosswalk,137216,137216,0
371,1048,1731,8_55,8_55,367,怒髪の豪腕,Quixotic Hero Swine Snout,CREATURE,Beast Folk,"■ Whenever another creature is put into the battle zone, this creature gets +3000 power until the end of the turn.",,crosswalk,145408,145152,256
372,1049,1732,8_S1,8_S1,368,光器ナスターシャ,"Nastasha, Channeler of Suns",CREATURE,Mecha Del Sol,"■ Double breaker (This creature breaks 2 shields.)
■ When one of your shields would be broken, you may destroy this creature instead.",,crosswalk,133120,131584,1536
373,1050,1733,8_S2,8_S2,369,エンペラー・アクア,Emperor Quazla,CREATURE,Cyber Lord,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Evolution-Put on one of your Cyber Lords.
■ Whenever your opponent uses the ""shield trigger"" ability of one of his shields, draw up to 2 cards.",,crosswalk,135168,135168,0
374,1051,1734,8_S3,8_S3,370,超神龍アブゾ・ドルバ,Super Necrodragon Abzo Dolba,EVOLUTION CREATURE,Zombie Dragon,"■ Evolution-Put on one of your creatures that has Dragon in its race.
■ This creature gets +2000 power for each creature in your graveyard.
■ Triple breaker (This creature breaks 3 shields.)",,crosswalk,153600,152832,768
375,1052,1735,8_S4,8_S4,371,超竜バジュラ,Überdragon Bajula,EVOLUTION CREATURE,Armored Dragon,"■ Evolution-Put on one of your creatures that has Dragon in its race.
■ Whenever this creature attacks, choose up to 2 cards in your opponent's mana zone. Your opponent puts those cards into his graveyard.
■ Triple breaker (This creature breaks 3 shields.)",,crosswalk,147456,145664,1792
376,1053,1736,8_S5,8_S5,372,超神龍バイラス・ゲイル,Super Terradragon Bailas Gale,EVOLUTION CREATURE,Earth Dragon,"■ Evolution-Put on one of your creatures that has Dragon in its race.
■ After you cast a spell by using its ""shield trigger"" ability, put it into your hand instead of your graveyard.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,161792,161024,768
377,1054,1737,9_1,9_1,373,守護聖天グレナ・ビューレ,"Glena Vuele, the Hypnotic",EVOLUTION CREATURE,Guardian,"■ Evolution-Put on one of your Guardians.
■ Double breaker (This creature breaks 2 shields.)
■ Whenever your opponent uses the ""shield trigger"" ability of one of his shields, you may add the top card of your deck to your shields face down.",,crosswalk,122880,121856,1024
378,1055,1738,9_2,9_2,374,マーチング・スプライト,Marching Motherboard,CREATURE,Cyber Virus,"■ Whenever you put another creature that has Cyber in its race into the battle zone, you may draw a card.",,crosswalk,112640,112128,512
379,1056,1739,9_3,9_3,375,死皇帝アザガースト,"Azaghast, Tyrant of Shadows",EVOLUTION CREATURE,Dark Lord,"■ Evolution-Put on one of your Dark Lords.
■ Whenever you put a Ghost into the battle zone, you may destroy one of your opponent's untapped creatures.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,145408,145408,0
380,1057,1740,9_4,9_4,376,聖剣炎獣バーレスク,"Balesk Baj, the Timeburner",EVOLUTION CREATURE,Armored Wyvern,"■ Evolution-Put on one of your Armored Wyverns.
■ Whenever this creature is attacking your opponent and isn't blocked, take an extra turn after this one.
■ Double breaker (This creature breaks 2 shields.)
■ At the end of your turn, return this creature to your hand.",,crosswalk,139264,137472,1792
381,1058,1741,9_5,9_5,377,鼓舞の化身,"Vreemah, Freaky Mojo Totem",CREATURE,Mystery Totem,"■ Whenever you put another creature into the battle zone, each Beast Folk in the battle zone gets +2000 power and ""double breaker"" until the end of the turn. (A creature that has ""double breaker"" breaks 2 shields.)",,crosswalk,143360,142592,768
382,1059,1742,9_6,9_6,378,天光の精霊ミハイル,"Mihail, Celestial Elemental",CREATURE,Angel Command,"■ Whenever another creature would be destroyed, it stays in the battle zone instead.",,crosswalk,133120,131328,1792
383,1060,1743,9_7,9_7,379,予言者ミキュート,"Micute, the Oracle",CREATURE,Light Bringer,"■ Whenever you put a Guardian into the battle zone, you may choose one of your opponent's creatures in the battle zone and tap it.",,crosswalk,116736,116736,0
384,1061,1744,9_8,9_8,380,セレブ・チャージャー,Nexus Charger,SPELL,,"■ Add a card from your hand to your shields face down.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)",,crosswalk,114688,114176,512
385,1062,1745,9_9,9_9,381,エンペラー・マロル,Emperor Maroll,EVOLUTION CREATURE,Cyber Lord,"■ Evolution-Put on one of your Cyber Lords.
■ Whenever you put another creature into the battle zone, return this creature to your hand.
■ Whenever this creature becomes blocked, return the blocking creature to its owner's hand. (This creature stays tapped.)",,crosswalk,135168,135168,0
386,1063,1746,9_10,9_10,382,ストーク・クロウラー,Zeppelin Crawler,CREATURE,Earth Eater,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.
■ Whenever this creature blocks, look at the top 4 cards of your deck. Put one of them into your hand, and put the rest on the bottom of your deck in any order.",,crosswalk,122880,121856,1024
387,1064,1747,9_11,9_11,383,アナライズ・チャージャー,Abduction Charger,SPELL,,"■ Choose up to 2 creatures in the battle zone and return them to their owners' hands.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)",,crosswalk,114688,114688,0
388,1065,1748,9_12,9_12,384,闘将バグザグール,"Gabzagul, Warlord of Pain",CREATURE,Dark Lord,■ Each creature attacks each turn if able.,,crosswalk,139264,138240,1024
389,1066,1749,9_13,9_13,385,崩壊の影デス・タギア,"Ice Vapor, Shadow of Anguish",CREATURE,Ghost,"■ Whenever your opponent casts a spell, he chooses and discards a card from his hand, then chooses a card in his mana zone and puts it into his graveyard.",,crosswalk,135168,134400,768
390,1067,1750,9_14,9_14,386,ロスト・チャージャー,Slash Charger,SPELL,,"■ Search a player's deck. You may take a card from that deck and put it into that player's graveyard. Then the player shuffles his deck.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)",,crosswalk,139264,139008,256
391,1068,1751,9_15,9_15,387,特攻隊長マイキー,Shock Trooper Mykee,CREATURE,Human,"■ Speed attacker (This creature doesn't get summoning sickness.)
■ Whenever this creature is attacking your opponent and isn't blocked, you may destroy one of your opponent's creatures that has power 3000 or less.",,crosswalk,141312,141312,0
392,1069,1752,9_16,9_16,388,猿神兵アッシュ,Simian Warrior Grash,CREATURE,Armorloid,"■ Whenever one of your Armorloids is destroyed, your opponent chooses a card in his mana zone and puts it into his graveyard.",,crosswalk,137216,136960,256
393,1070,1753,9_17,9_17,389,サウザンド・スピア,Blizzard of Spears,SPELL,,■ Destroy all creatures that have power 4000 or less.,,crosswalk,118784,118528,256
394,1071,1754,9_18,9_18,390,大勇者「猛虎の怒り」,"Storm Wrangler, the Furious",EVOLUTION CREATURE,Beast Folk,"■ Evolution-Put on one of your Beast Folk.
■ Whenever this creature attacks, you may choose one of your opponent's untapped creatures that has ""blocker."" This turn, that creature blocks this creature if able and this creature can't be blocked by other creatures.
■ Whenever this creature becomes blocked, it gets +3000 power until the end of the turn.",,crosswalk,145408,144384,1024
395,1072,1755,9_19,9_19,391,緑神龍アンリストヴァル,Terradragon Anrist Vhal,CREATURE,Earth Dragon,"■ This creature gets +2000 power for each of your other nature creatures in the battle zone. (A creature that has power 0 or less is destroyed.)
■ While this creature has power 6000 or more, it has ""double breaker (This creature breaks 2 shields).""",,crosswalk,145408,145408,0
396,1073,1756,9_20,9_20,392,クリスタル・フュージョン,Mana Bonanza,SPELL,,"■ For each card in your mana zone, put a card from the top of your deck into your mana zone tapped.",,crosswalk,126976,125440,1536
397,1074,1757,9_21,9_21,393,月虹の守護者アール・ノアール,"Tra Rion, Penumbra Guardian",CREATURE,Guardian,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a race. At the end of this turn, untap all creatures of that race in the battle zone.",,crosswalk,116736,115200,1536
398,1075,1758,9_22,9_22,394,宣凶師ベトラーレ,"Betrale, the Explorer",CREATURE,Gladiator,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.
■ At the end of each of your turns, you may untap this creature.",,crosswalk,112640,111360,1280
399,1076,1759,9_23,9_23,395,センチネル・ガード,Unified Resistance,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose a race. Until the start of your next turn, each of your creatures in the battle zone of that race gets ""blocker"".",,crosswalk,100352,99584,768
400,1077,1760,9_24,9_24,396,ティコラクス,Tekorax,CREATURE,Sea Hacker,"■ When you put this creature into the battle zone, look at your opponent's shields. Then put them back where they were.",,crosswalk,124928,123904,1024
401,1078,1761,9_25,9_25,397,ポキラ,Hokira,CREATURE,Cyber Lord,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a race. Whenever one of your creatures of that race would be destroyed this turn, return it to your hand instead.",,crosswalk,131072,130304,768
402,1079,1762,9_26,9_26,398,サブマリン・プロジェクト,Submarine Project,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Look at the top 4 cards of your deck. Put one of them into your hand, and put the rest on the bottom of your deck in any order.",,crosswalk,129024,128256,768
403,1080,1763,9_27,9_27,399,黒神龍イゾリストヴァル,Necrodragon Izorist Vhal,CREATURE,Zombie Dragon,"■ This creature gets +2000 power for each darkness creature in your graveyard. (A creature that has power 0 or less is destroyed.)
■ While this creature has power 6000 or more, it has ""Double breaker (This creature breaks 2 shields).""",,crosswalk,147456,146688,768
404,1081,1764,9_28,9_28,400,毒牙虫ベノム・ワーム,Venom Worm,CREATURE,Parasite Worm,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a race. Each creature of that race gets ""slayer"" until the end of the turn. (Whenever a creature that has ""slayer"" battles, destroy the other creature after the battle.)",,crosswalk,145408,144384,1024
405,1082,1765,9_29,9_29,401,生命剥奪,Grinning Hunger,SPELL,,■ Your opponent chooses one of his creatures in the battle zone or one of his shields and puts it into his graveyard.,,crosswalk,141312,141056,256
406,1083,1766,9_30,9_30,402,ジョー・リザード,Snaptongue Lizard,CREATURE,Dune Gecko,"■ While attacking a creature, this creature can't be blocked.
■ Power attacker +3000 (While attacking, this creature gets +3000 power.)",,crosswalk,135168,133376,1792
407,1084,1767,9_31,9_31,403,ジージョのトンカチ,Gigio's Hammer,CREATURE,Xenoparts,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a race. Each creature of that race attacks this turn if able and gets ""power attacker +4000"" until the end of the turn. (While attacking, a creature that has ""power attacker +4000"" gets +4000 power.)",,crosswalk,135168,134656,512
408,1085,1768,9_32,9_32,404,無限掌,Fists of Forever,SPELL,,"■ Choose one of your creatures in the battle zone. Whenever that creature wins a battle this turn, untap it.",,crosswalk,118784,116992,1792
409,1086,1769,9_33,9_33,405,夢蒼の剛剣,Silvermoon Trailblazer,CREATURE,Beast Folk,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a race. Creatures of that race can't be blocked by creatures that have power 3000 or less this turn.",,crosswalk,129024,127744,1280
410,1087,1770,9_34,9_34,406,怪力の化身,Whispering Totem,CREATURE,Mystery Totem,"■ When you put this creature into the battle zone, search your deck. You may take a Whispering Totem from your deck, show that creature to your opponent, and put it into your hand. Then shuffle your deck.",,crosswalk,139264,139008,256
411,1088,1771,9_35,9_35,407,ソイル・チャージャー,Vine Charger,SPELL,,"■ Your opponent chooses one of his creatures in the battle zone and puts it into his mana zone.
■ Charger (After you cast this spell, put it into your mana zone instead of your graveyard.)",,crosswalk,135168,135168,0
412,1089,1772,9_36,9_36,408,聖騎士メビウスリンク,"Cyclolink, Spectral Knight",CREATURE,Rainbow Phantom,"■ Whenever this creature is attacking your opponent and isn't blocked, search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck.",,crosswalk,122880,122880,0
413,1090,1773,9_37,9_37,409,時空の守護者ジル・ワーカ,"Jil Warka, Time Guardian",CREATURE,Guardian,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.
■ When this creature is destroyed, choose up to 2 of your opponent's creatures in the battle zone and tap them.",,crosswalk,133120,131584,1536
414,1091,1774,9_38,9_38,410,双光の使徒カリュート,"Kalute, Vizier of Eternity",CREATURE,Initiate,"■ When this creature would be destroyed, if another Kalute, Vizier of Eternity is in the battle zone, return this creature to your hand instead.",,crosswalk,120832,119552,1280
415,1092,1775,9_39,9_39,411,コズミック・ウイング,Cosmic Wing,SPELL,,■ Choose one of your creatures in the battle zone. It can't be blocked this turn.,,crosswalk,104448,102656,1792
416,1093,1776,9_40,9_40,412,テンタクル・クラスター,Tentacle Cluster,CREATURE,Cyber Cluster,"■ Whenever this creature is attacking your opponent and isn't blocked, you may choose a creature in the battle zone and return it to its owner's hand.",,crosswalk,133120,131840,1280
417,1094,1777,9_41,9_41,413,スカウト・クラスター,Scout Cluster,CREATURE,Cyber Cluster,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Whenever you put another creature into the battle zone, return this creature from the battle zone to your hand.",,crosswalk,124928,123392,1536
418,1095,1778,9_42,9_42,414,フェアリー・キャンドル,Kelp Candle,CREATURE,Cyber Virus,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.
■ Whenever this creature blocks, look at the top 4 cards of your deck. Put one of them into your hand, and put the rest on the bottom of your deck in any order.",,crosswalk,126976,125440,1536
419,1096,1779,9_43,9_43,415,サイバー・トンネル,Impossible Tunnel,SPELL,,■ Choose a race. Creatures of that race can't be blocked this turn.,,crosswalk,122880,121088,1792
420,1097,1780,9_44,9_44,416,墓堀怪人アシッドフィスト,"Acid Reflux, the Fleshboiler",CREATURE,Devil Mask,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.
■ Slayer (Whenever this creature battles, destroy the other creature after the battle.)",,crosswalk,133120,131584,1536
421,1098,1781,9_45,9_45,417,悪戯人形ハロ,"Trixo, Wicked Doll",CREATURE,Death Puppet,"■ Whenever this creature is attacking your opponent and isn't blocked, your opponent chooses one of his creatures and destroys it.",,crosswalk,120832,120064,768
422,1099,1782,9_46,9_46,418,暗闇に潜む者バット・ドクター,"Bat Doctor, Shadow of Undeath",CREATURE,Ghost,"■ When this creature is destroyed, you may return another creature from your graveyard to your hand.",,crosswalk,157696,156416,1280
423,1100,1783,9_47,9_47,419,ゾンビ・カーニバル,Zombie Carnival,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose a race. Return up to 3 creatures of that race from your graveyard to your hand.",,crosswalk,137216,135680,1536
424,1101,1784,9_48,9_48,420,マウントザウルス,Quakesaur,CREATURE,Rock Beast,"■ Whenever this creature is attacking your opponent and isn't blocked, your opponent chooses a card in his mana zone and puts it into his graveyard.",,crosswalk,129024,129024,0
425,1102,1785,9_49,9_49,421,蒸神兵カイン,Steam Rumbler Kain,CREATURE,Armorloid,"■ Whenever this creature attacks, choose one of your shields and put it into your graveyard.",,crosswalk,124928,123648,1280
426,1103,1786,9_50,9_50,422,鳥神兵クウザ,Aerodactyl Kooza,CREATURE,Armorloid,"■ While attacking a creature, this creature can't be blocked.
■ Power attacker +3000 (While attacking, this creature gets +3000 power.)",,crosswalk,129024,128256,768
427,1104,1787,9_51,9_51,423,フル・コマンド,Relentless Blitz,SPELL,,"■ Choose a race. This turn, each creature of that race can attack untapped creatures and can't be blocked while attacking a creature.",,crosswalk,124928,124160,768
428,1105,1788,9_52,9_52,424,警護するソリッド・ホーン,Solid Horn,CREATURE,Horned Beast,"■ When this creature would be destroyed, put it into your mana zone instead.",,crosswalk,139264,137728,1536
429,1106,1789,9_53,9_53,425,ウィップ・スコーピオン,Whip Scorpion,CREATURE,Giant Insect,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Power attacker +3000 (While attacking, this creature gets +3000 power.)",,crosswalk,147456,146432,1024
430,1107,1790,9_54,9_54,426,誕生の祈,Cavern Raider,CREATURE,Beast Folk,"■ Whenever this creature is attacking your opponent and isn't blocked, search your deck. You may take a creature from your deck, show that creature to your opponent, and put it into your hand. Then shuffle your deck.",,crosswalk,135168,134912,256
431,1108,1791,9_55,9_55,427,強欲の開拓,Dance of the Sproutlings,SPELL,,■ Choose a race. You may put any number of creatures of that race from your hand into your mana zone.,,crosswalk,120832,119552,1280
432,1109,1792,9_S1,9_S1,428,光器ペトローバ,"Petrova, Channeler of Suns",CREATURE,Mecha Del Sol,"■ When you put this creature into the battle zone, choose a race other than Mecha Del Sol. Each creature of that race gets +4000 power.
■ Whenever your opponent would choose a creature in the battle zone, he can't choose this one. (It can still be attacked and blocked.)",,crosswalk,124928,124928,0
433,1110,1793,9_S2,9_S2,429,アクア・マスター,Aqua Master,CREATURE,Liquid People,"■ Whenever this creature is attacking your opponent and isn't blocked, choose one of your opponent's shields and turn it face up. (It stays face up while it's in the shield zone.)",,crosswalk,135168,135168,0
434,1111,1794,9_S3,9_S3,430,呪縛の剣豪バロスト,"Stallob, the Lifequasher",CREATURE,Demon Command,"■ Double breaker (This creature breaks 2 shields.)
■ When this creature is destroyed, destroy all creatures.",,crosswalk,135168,134144,1024
435,1112,1795,9_S4,9_S4,431,紅神龍オグリストヴァル,Magmadragon Ogrist Vhal,CREATURE,Volcano Dragon,"■ This creature gets +3000 power for each card in your hand. (A creature that has power 0 or less is destroyed.)
■ While this creature has power 6000 or more, it has ""Double breaker (This creature breaks 2 shields).""
■ While this creature has power 15000 or more, it has ""Triple breaker (This creature breaks 3 shields)"" instead of ""double breaker.""",,crosswalk,137216,135936,1280
436,1113,1796,9_S5,9_S5,432,驚天の超人,Stratosphere Giant,CREATURE,Giant,"■ When you put this creature into the battle zone, your opponent chooses up to 2 creatures in his hand and puts them into the battle zone.
■ Triple breaker (This creature breaks 3 shields.)",,crosswalk,139264,139008,256
437,1114,1797,10_1,10_1,433,雷珠の求道者ラ・バルザ,"Balza, Seeker of Hyperpearls",CREATURE,Mecha Thunder,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.",,crosswalk,135168,135168,0
438,1115,1798,10_2,10_2,434,光器リュドミーラ,"Ryudmila, Channeler of Suns",CREATURE,Mecha Del Sol,"■ This creature gets +2000 power for each of your other untapped creatures in the battle zone.
■ When this creature would be destroyed, shuffle it into your deck instead.",,crosswalk,133120,131328,1792
439,1116,1799,10_3,10_3,435,キング・オクアノス,King Oquanos,CREATURE,Leviathan,"■ This creature gets +2000 power for each tapped card in your opponent's mana zone.
■ While this creature has power 6000 or more, it has ""Double breaker (This creature breaks 2 shields).""",,crosswalk,124928,123392,1536
440,1117,1800,10_4,10_4,436,災厄秘宝ゲジラ,"Kejila, the Hidden Horror",CREATURE,Pandora's Box,"■ Double breaker (This creature breaks 2 shields.)
■ Silent skill (At the start of each of your turns, if this creature is tapped, you may keep it tapped and use its silent skill ability.)
  This creature breaks 2 of your opponent's shields.",,crosswalk,133120,132352,768
441,1118,1801,10_5,10_5,437,冥府の覇者ガジラビュート,"Gajirabute, Vile Centurion",CREATURE,Demon Command,"■ When you put this creature into the battle zone, choose one of your opponent's shields and put it into his graveyard.",,crosswalk,141312,140288,1024
442,1119,1802,10_6,10_6,438,ガウレザル・ドラゴン,Gaulezal Dragon,CREATURE,Armored Dragon,■ Double breaker (This creature breaks 2 shields.),,crosswalk,143360,142080,1280
443,1120,1803,10_7,10_7,439,天動の化身,Carnival Totem,CREATURE,Mystery Totem,"■ Double breaker (This creature breaks 2 shields.)
■ When you put this creature into the battle zone, put all the cards from your mana zone into your hand and, at the same time, put all the cards from your hand into your mana zone tapped.",,crosswalk,155648,154880,768
444,1121,1804,10_8,10_8,440,覚醒のタンザナイト,"Tanzanyte, the Awakener",CREATURE,Spirit Quartz,"■ (This creature is put into your mana zone tapped.)
■ Double breaker (This creature breaks 2 shields.)
■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a creature in your graveyard. Return all creatures that have that name from your graveyard to your hand.",,crosswalk,120832,120320,512
445,1122,1805,10_9,10_9,441,無双竜機ボルバルザーク,"Bombazar, Dragon of Destiny",CREATURE,Armored Dragon,"■ (This creature is put into your mana zone tapped.)
■ When you put this creature into the battle zone, destroy all other creatures that have 6000 power. Take an extra turn after this one. You lose the game at the end of that turn.
■ Speed attacker (This creature doesn't get summoning sickness.)
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,126976,126208,768
446,1123,1806,10_10,10_10,442,霊光の化身,Techno Totem,CREATURE,Mystery Totem,"■ (This creature is put into your mana zone tapped.)
■ While this creature is tapped, each of your other creatures has ""power attacker +1500."" (While attacking, a creature that has ""power attacker +1500"" gets +1500 power.)
■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose one of your opponent's creatures in the battle zone and tap it.",,crosswalk,133120,132608,512
447,1124,1807,10_100,10_100,532,強制突撃,Forced Frenzy,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Each of your opponent's creatures gets ""This creature attacks if able"" until the start of your next turn.",,crosswalk,118784,117504,1280
448,1125,1808,10_101,10_101,533,幻竜砲,Phantom Dragon's Flame,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy one of your opponent's creatures that has power 2000 or less.",,crosswalk,118784,118784,0
449,1126,1809,10_102,10_102,534,コロッサス・ブースター,Colossus Boost,SPELL,,■ One of your creatures in the battle zone gets +4000 power until the end of the turn.,,crosswalk,122880,122368,512
450,1127,1810,10_103,10_103,535,シェル・レガシー,Legacy Shell,CREATURE,Colony Beetle,"■ Each of your light creatures and fire creatures has ""power attacker +3000."" (While attacking, a creature that has ""power attacker +3000"" gets +3000 power.)",,crosswalk,149504,148992,512
451,1128,1811,10_104,10_104,536,セイバーマスク・ビートル,Sabermask Scarab,CREATURE,Giant Insect,"■ Whenever this creature attacks, return a card from your mana zone to your hand.",,crosswalk,147456,145920,1536
452,1129,1812,10_105,10_105,537,喜びの化身,Jiggly Totem,CREATURE,Mystery Totem,"■ While attacking, this creature gets +1000 power for each tapped card in your mana zone.",,crosswalk,126976,125952,1024
453,1130,1813,10_106,10_106,538,プリーチ・トマト,Scowling Tomato,CREATURE,Wild Veggies,,,crosswalk,133120,132608,512
454,1131,1814,10_107,10_107,539,ハッスル・ベリー,Hustle Berry,CREATURE,Wild Veggies,"■ Silent skill (At the start of each of your turns, if this creature is tapped, you may keep it tapped and use its silent skill ability.)
  Put the top card of your deck into your mana zone.",,crosswalk,145408,144640,768
455,1132,1815,10_108,10_108,540,原始の棍棒,Adventure Boar,CREATURE,Beast Folk,"■ Power attacker +2000 (While attacking, this creature gets +2000 power.)",,crosswalk,141312,140800,512
456,1133,1816,10_109,10_109,541,フェアリー・ライフ,Faerie Life,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Put the top card of your deck into your mana zone.",,crosswalk,129024,128768,256
